furniture-10030001,かぼちゃクマさん
furniture-10002208,春の教室-学習机（放課後モード）
furniture-20002208,掃除しやすいよう考案された変形モード。椅子を上げるのを日直がやるか、各々の生徒がやるかは学校によって異なる。
furniture-10002209,春の教室-教卓
furniture-20002209,期末テストの問題、答案、順位表。すべて、かつてはこの上にあった。「私はアルファであり、オメガである！」
furniture-10002210,春の教室-教室のタイル
furniture-20002210,お菓子の食べかすで汚れていることは、運動会の期間を除けば滅多にない。
furniture-10002211,春の教室-教室の壁紙
furniture-20002211,壁に寄りかかる方が、椅子の背もたれなんかよりずっと気持ち良い。だから、多くの学校では定期的に席替えを行う。
furniture-10002212,春の教室-掲示板
furniture-20002212,授業開始2分前にありがちな会話。「次の授業何だっけ？」「忘れた。自分で確認しろ。」
furniture-10002213,春の教室-小物ラック
furniture-20002213,人は集団に加わることを誇るべきではない。自分が加わったことを集団に誇らせるべきだ。
furniture-10002214,春の教室-校内放送
furniture-20002214,「みんな、ラッパの放送が始まるよ！わたしは……」//n「もういいよ、姉ちゃん。もう聞いて分かる人はいないよ……」
furniture-10002215,春の教室-教室の窓
furniture-20002215,いつか私たちは憧れの世界へ足を踏み入れ、そしてある日突然振り返る……人生はすれ違いの連続でしょ。そうじゃない？
furniture-10002301,休日のお散歩-群れで飛ぶ鳩
furniture-20002301,ハトは単なるビジョン。本物のハトは時間どおりには飛んでこないから。
furniture-10002302,休日のお散歩-遊覧船
furniture-20002302,私たちは運命の湖に船を浮かべる。荒波は私たちを今日に縛りつけることもあれば、明日へ導くこともある。
furniture-10002303,休日のお散歩-屋外ベンチ
furniture-20002303,迷子のお姫様に話しかけるなら、彼女は今、あなたがさっき靴ひもを結ぶために足を掛けていた場所に座っているということをお忘れなく。
furniture-10002304,休日のお散歩-屋外チェア（左）
furniture-20002304,その辺りのカフェに入る、商店街をぶらつく、雨の中をそぞろ歩く。どれもやってみたいけど、私1人では達成できない冒険なの。
furniture-10002305,休日のお散歩-屋外チェア（右）
furniture-20002305,その辺りのカフェに入る、商店街をぶらつく、雨の中をそぞろ歩く。どれもやってみたいけど、私1人では達成できない冒険なの。
furniture-10002306,休日のお散歩-屋外パラソル
furniture-20002306,なんのために雄弁を振るってるんだかわかりませんけど、まずは座って支払いをお願いします。詩と遠い未来ばかりが人生ではありません、目の前の些細なことも人生のうちです。
furniture-10002307,休日のお散歩-街灯
furniture-20002307,恋人たちよ、私の下で気の済むまで別れ話をするがいい。どのみち時間はそばで口をつぐんでいることしかできないのだから。
furniture-10002308,休日のお散歩-電動バイク
furniture-20002308,映画に影響された人形がめちゃくちゃな運転で指揮官を吹っ飛ばしたりしないよう、制限速度を守って、後部座席の人がしっかり掴まっているかどうかを確認してください。
furniture-10002309,休日のお散歩-キオスク
furniture-20002309,新聞はいかがですか？今日の自分と世界との距離を調べてみましょう。
furniture-10002310,休日のお散歩-郵便ポスト
furniture-20002310,「あなたはもう私の世界をその目で見たけれど、私はあなたの世界を空想するしかないの……どうか私の願いを叶えて！」
furniture-10002311,休日のお散歩-お洒落な石畳
furniture-20002311,石畳に響くハイヒールの音を耳にしてあなたは悟る。恋は時間ではなく、運命によって落ちるのだと。
furniture-10002312,休日のお散歩-屋外テーブル
furniture-20002312,「お一人ですか？」「いえ、待ち合わせなんです」。これは脚本があなたに残した最後の慈悲。
furniture-10002313,休日のお散歩-街の遠景
furniture-20002313,「この人たちを見ていて思った。ここに住んだらきっと面白いだろう。」さあ、休日から目を覚まし、日常へ戻りましょう。
furniture-10002401,博物館-博物館のベンチ
furniture-20002401,お好きな場所へどうぞ。ここの恐竜は襲ってきたりしませんし、戦車だってあなたを狙いません。これこそあなた達が終生追い求めた平和でしょう。
furniture-10002402,博物館-ロングカーペット
furniture-20002402,長いカーペットは私たちが行くべき場所へ導いてくれる。けれど運命は？こんなふうに私たちに近づきたいと思うだろうか？
furniture-10002403,博物館-近代武器陳列ケース
furniture-20002403,火器のせいで殺戮は間接的な行為となり、文明時代の人類はこの上なく安直に憎しみを生み出している。
furniture-10002404,博物館-古代武器陳列ケース
furniture-20002404,冷兵器は使用者が直に敵と対面することを意味し、戦闘には多くの技術、勇気、単純な理由を必要とする。
furniture-10002405,博物館-現代武器陳列ケース
furniture-20002405,この時代ではまったく新しい戦術武器を利用していますが、戦争の残酷さがさらに増すかどうかはあなたにかかっています、指揮官。
furniture-10002406,博物館-ペンギンの標本
furniture-20002406,古くからいるこの可愛い水鳥は、第3次世界大戦以来、人類が犯した様々な愚行を故郷で目の当たりにし、かつ巻き添えになっています。
furniture-10002407,博物館-ロープパーテーション
furniture-20002407,あなたと歴史の距離を隔てるもの。歴史だけは永久に不変なのです。あなたですか？あなたは一時的なものです。
furniture-10002408,博物館-クジラの模型
furniture-20002408,今となっては標本さえ見つけるのは難しい。しかし人間というのは……大丈夫、私たちを気にかけているふりをする必要はありません。
furniture-10002409,博物館-恐竜頭骨標本
furniture-20002409,「ガオォ～！」。それは子供たちに「カッコよさ」にまつわる概念、すなわち無意識下にある最も原始的で、シンプルなロマン呼び起こす。
furniture-10002410,博物館-恐竜骨格標本
furniture-20002410,優雅な外観は、大きくなりすぎた哺乳動物ではまったく及びもつきません。だからホモ・サピエンスは嫉妬して、恐竜に醜い羽毛を加えたのです！
